Dptr Hour,Length of Flight (Hrs),Day of Week,Passengers Boarded,Stock Out Occurred,Cheese Platters Sold
18,5,Sunday,152,0,19
23,4,Saturday,99,0,10
14,5,Saturday,86,0,11
22,3,Wednesday,165,0,15
21,3,Tuesday,116,0,12
19,6,Tuesday,127,0,18
0,5,Saturday,165,0,17
5,5,Sunday,128,0,14
5,4,Tuesday,131,0,15
8,5,Monday,111,0,15
5,2,Thursday,140,0,15
20,5,Friday,158,0,16
10,5,Saturday,120,0,14
5,5,Wednesday,165,0,18
5,6,Tuesday,98,0,11
22,6,Thursday,165,0,17
19,4,Sunday,151,0,19
4,2,Tuesday,111,0,11
1,2,Tuesday,151,0,15
0,4,Monday,165,0,18
5,3,Friday,137,0,15
11,5,Wednesday,124,0,17
11,2,Friday,143,0,19
1,5,Friday,165,0,18
22,2,Thursday,130,0,13
4,5,Monday,129,0,14
5,5,Thursday,111,0,12
7,2,Saturday,143,0,13
22,5,Wednesday,153,0,17
11,3,Thursday,153,0,19
16,2,Thursday,126,0,16
3,1,Monday,152,0,15
19,2,Wednesday,132,0,17
8,5,Thursday,132,0,18
5,6,Friday,121,0,13
7,5,Friday,112,0,11
10,3,Sunday,141,0,17
20,1,Sunday,155,0,14
17,3,Sunday,139,0,16
1,6,Thursday,110,0,13
4,2,Wednesday,165,0,18
19,3,Monday,105,0,14
22,1,Sunday,146,0,12
15,5,Sunday,117,0,14
14,6,Wednesday,124,0,17
13,4,Monday,136,0,19
11,3,Sunday,146,0,18
19,3,Monday,142,0,18
14,3,Saturday,142,0,18
0,5,Thursday,142,0,16
0,4,Sunday,165,0,16
4,6,Friday,91,0,9
11,4,Tuesday,118,0,15
14,6,Monday,124,0,18
5,5,Thursday,115,0,12
13,2,Saturday,120,0,16
6,1,Thursday,110,0,12
23,3,Wednesday,97,0,11
18,1,Sunday,120,0,14
24,2,Monday,138,0,14
24,4,Friday,137,0,15
24,5,Saturday,138,0,13
6,1,Tuesday,138,0,14
16,1,Saturday,150,0,19
5,2,Friday,128,0,14
18,1,Thursday,144,0,17
21,5,Saturday,165,0,15
5,4,Saturday,165,0,16
2,5,Friday,117,0,12
1,4,Sunday,148,0,14
13,5,Tuesday,109,0,15
24,3,Friday,113,0,11
3,3,Sunday,149,0,15
15,5,Thursday,140,0,19
9,2,Tuesday,140,0,19
7,1,Saturday,108,0,10
0,4,Monday,165,0,17
0,6,Saturday,165,0,17
5,2,Monday,133,0,13
11,2,Sunday,139,0,17
3,6,Thursday,111,0,12
17,6,Thursday,91,0,13
10,2,Saturday,146,0,18
16,3,Saturday,85,0,10
3,3,Tuesday,130,0,13
21,1,Tuesday,165,0,16
18,2,Sunday,98,0,11
21,1,Tuesday,127,0,12
18,5,Tuesday,115,0,16
20,3,Thursday,165,0,16
12,3,Saturday,146,0,18
23,1,Monday,116,0,11
4,5,Tuesday,164,0,17
17,4,Friday,119,0,16
13,1,Sunday,112,0,13
23,1,Wednesday,140,0,14
5,3,Wednesday,144,0,13
3,1,Friday,131,0,14
3,4,Thursday,110,0,12
17,4,Tuesday,122,0,18
11,1,Monday,124,0,17
24,3,Saturday,155,0,14
5,4,Monday,134,0,15
0,2,Sunday,119,0,12
22,4,Saturday,131,0,13
20,5,Friday,141,0,16
9,3,Wednesday,143,0,19
2,1,Monday,116,0,12
13,4,Tuesday,130,0,17
5,4,Tuesday,156,0,17
22,5,Tuesday,150,0,16
0,4,Sunday,137,0,13
12,3,Sunday,131,0,16
7,4,Saturday,152,0,15
16,1,Sunday,165,0,19
24,1,Sunday,165,0,14
7,3,Friday,138,0,14
19,5,Friday,117,0,16
12,6,Thursday,138,0,19
11,6,Thursday,108,0,15
19,3,Monday,137,0,19
14,5,Saturday,118,0,15
16,4,Thursday,139,0,19
7,4,Saturday,133,0,13
5,4,Friday,133,0,14
19,2,Friday,141,0,19
2,5,Friday,165,0,18
18,3,Monday,132,0,17
23,4,Tuesday,118,0,12
11,3,Friday,128,0,18
24,3,Wednesday,92,0,10
1,6,Thursday,164,0,18
15,1,Monday,152,0,19
4,4,Saturday,108,0,11
3,4,Saturday,143,0,15
10,5,Sunday,125,0,16
15,1,Saturday,100,0,12
7,4,Monday,152,0,16
17,4,Saturday,115,0,16
2,5,Saturday,108,0,12
4,4,Tuesday,98,0,10
15,3,Sunday,141,0,19
16,2,Wednesday,120,0,15
8,5,Thursday,115,0,16
23,2,Friday,127,0,13
6,2,Wednesday,165,0,16
7,3,Monday,139,0,14
22,5,Saturday,134,0,13
3,1,Friday,165,0,17
1,6,Thursday,131,0,13
13,6,Monday,123,0,16
17,1,Friday,135,0,17
21,2,Wednesday,115,0,12
0,4,Monday,150,0,17
15,4,Thursday,111,0,15
18,3,Monday,130,0,18
17,3,Tuesday,133,0,17
0,3,Thursday,113,0,11
0,6,Sunday,165,0,17
2,2,Wednesday,157,0,16
14,2,Sunday,137,0,17
21,5,Monday,69,0,7
6,6,Saturday,149,0,14
7,3,Wednesday,135,0,13
20,4,Thursday,147,0,17
10,2,Sunday,158,0,19
4,1,Saturday,132,0,13
5,6,Friday,163,0,18
18,5,Wednesday,134,0,19
13,6,Monday,114,0,15
10,1,Saturday,119,0,14
13,1,Monday,98,0,13
2,3,Thursday,165,0,17
1,3,Saturday,165,0,16
16,2,Thursday,123,0,16
5,3,Wednesday,100,0,11
11,3,Monday,133,0,17
24,5,Saturday,165,0,16
14,1,Saturday,158,0,19
1,3,Tuesday,165,0,17
10,1,Saturday,142,0,17
7,5,Tuesday,140,0,15
1,1,Friday,164,0,16
7,6,Sunday,165,0,16
15,4,Wednesday,127,0,18
24,3,Monday,165,0,17
23,6,Saturday,134,0,14
13,3,Monday,151,0,19
5,2,Friday,147,0,15
1,6,Friday,111,0,12
23,1,Tuesday,111,0,11
19,3,Wednesday,114,0,15
24,2,Sunday,95,0,9
21,5,Monday,165,0,18
14,6,Friday,77,0,10
4,2,Monday,151,0,16
22,6,Wednesday,161,0,19
24,5,Monday,111,0,13
17,5,Tuesday,127,0,17
8,5,Tuesday,125,0,17
14,2,Sunday,145,0,18
4,1,Monday,129,0,13
12,3,Wednesday,123,0,16
24,4,Saturday,154,0,15
16,6,Sunday,128,0,17
24,6,Friday,165,0,18
6,1,Monday,149,0,14
5,4,Saturday,159,0,14
13,4,Saturday,137,0,17
21,3,Friday,151,0,16
18,2,Tuesday,132,0,18
21,2,Thursday,147,0,15
23,5,Thursday,146,0,16
4,4,Tuesday,153,0,17
3,2,Wednesday,127,0,13
2,6,Sunday,134,0,14
20,3,Thursday,165,0,17
21,3,Monday,141,0,14
22,5,Saturday,76,0,7
21,5,Monday,165,0,18
21,2,Thursday,124,0,13
18,1,Sunday,134,0,16
4,3,Tuesday,118,0,12
8,1,Saturday,157,0,19
4,6,Monday,145,0,17
15,1,Monday,147,0,18
0,4,Friday,165,0,18
12,1,Tuesday,135,0,18
7,6,Monday,128,0,15
13,4,Wednesday,125,0,18
24,5,Saturday,135,0,13
9,4,Thursday,118,0,16
4,5,Sunday,130,0,12
12,5,Sunday,141,0,19
14,3,Friday,135,0,18
0,3,Sunday,106,0,10
3,5,Sunday,150,0,16
6,4,Sunday,158,0,15
13,3,Friday,138,0,18
14,6,Friday,129,0,18
2,5,Monday,165,0,17
12,2,Wednesday,137,0,18
15,6,Saturday,124,0,16
24,5,Friday,143,0,14
16,1,Friday,104,0,14
6,1,Sunday,150,0,14
24,1,Sunday,130,0,12
16,6,Sunday,110,0,14
20,2,Thursday,165,0,16
6,5,Tuesday,148,0,16
6,6,Wednesday,87,0,9
7,3,Friday,128,0,13
16,3,Tuesday,130,0,18
18,2,Friday,120,0,15
14,4,Monday,137,0,19
2,5,Monday,138,0,15
24,1,Monday,161,0,17
5,5,Friday,165,0,17
10,3,Wednesday,135,0,16
23,4,Friday,93,0,10
3,4,Saturday,154,0,14
23,3,Tuesday,98,0,10
20,2,Wednesday,123,0,13
20,2,Saturday,142,0,13
23,4,Wednesday,157,0,17
11,2,Wednesday,135,0,18
16,1,Friday,84,0,10
12,4,Thursday,98,0,12
6,1,Friday,144,0,14
16,3,Thursday,103,0,13
3,4,Sunday,131,0,12
15,3,Saturday,116,0,15
3,6,Friday,139,0,15
22,4,Monday,157,0,17
5,2,Friday,100,0,10
13,6,Saturday,106,0,13
15,5,Friday,122,0,16
16,2,Friday,130,0,18
9,1,Wednesday,118,0,16
2,4,Thursday,145,0,17
13,2,Tuesday,126,0,17
20,4,Wednesday,140,0,14
18,1,Thursday,97,0,12
19,2,Friday,134,0,17
8,5,Saturday,76,0,10
18,6,Saturday,88,0,11
8,2,Sunday,134,0,17
2,5,Friday,145,0,16
5,1,Tuesday,165,0,16
5,4,Monday,155,0,15
7,1,Sunday,131,0,11
22,1,Sunday,165,0,15
12,5,Sunday,140,0,17
1,6,Wednesday,165,0,18
13,2,Friday,82,0,11
6,3,Sunday,89,0,8
13,3,Sunday,143,0,18
21,1,Monday,156,0,16
4,5,Saturday,164,0,16
1,1,Saturday,139,0,14
11,2,Friday,141,0,19
1,3,Friday,165,0,17
14,3,Sunday,144,0,18
1,6,Sunday,137,0,13
21,6,Thursday,113,0,13
5,3,Sunday,129,0,12
8,1,Thursday,129,0,17
21,1,Friday,129,0,13
6,1,Saturday,138,0,13
10,4,Sunday,123,0,15
14,4,Friday,99,0,12
3,5,Sunday,130,0,12
4,4,Monday,105,0,11
20,4,Wednesday,140,0,15
0,1,Wednesday,161,0,17
15,1,Saturday,116,0,14
8,1,Friday,142,0,19
7,6,Wednesday,124,0,14
1,4,Thursday,156,0,17
22,6,Wednesday,87,0,9
16,3,Wednesday,117,0,16
24,4,Wednesday,165,0,17
3,6,Tuesday,146,0,15
1,6,Monday,165,0,18
10,4,Monday,105,0,13
1,6,Monday,165,0,19
3,6,Saturday,139,0,14
2,2,Thursday,165,0,18
9,1,Thursday,95,0,13
21,1,Monday,102,0,10
3,3,Tuesday,118,0,12
4,5,Thursday,122,0,13
10,5,Thursday,113,0,15
16,5,Wednesday,103,0,13
19,4,Tuesday,115,0,15
5,4,Wednesday,118,0,12
3,4,Sunday,146,0,14
5,3,Wednesday,142,0,15
7,4,Saturday,138,0,13
12,6,Saturday,137,0,19
11,2,Sunday,122,0,15
12,6,Saturday,143,0,17
9,3,Saturday,151,0,19
22,3,Friday,138,0,15
16,1,Wednesday,121,0,15
5,5,Thursday,138,0,15
24,5,Tuesday,139,0,15
2,1,Friday,137,0,13
0,1,Saturday,134,0,12
4,4,Thursday,135,0,14
1,4,Saturday,133,0,13
22,4,Wednesday,134,0,14
4,6,Sunday,132,0,12
1,2,Saturday,134,0,13
8,2,Monday,131,0,18
21,4,Sunday,142,0,14
1,2,Thursday,162,0,15
1,2,Tuesday,118,0,12
19,3,Tuesday,132,0,18
13,6,Wednesday,108,0,14
4,4,Thursday,158,0,17
24,3,Tuesday,123,0,12
11,6,Thursday,128,0,18
22,3,Saturday,165,0,16
3,6,Sunday,138,0,13
19,4,Monday,122,0,16
12,2,Sunday,97,0,13
21,4,Friday,131,0,14
2,1,Thursday,143,0,15
2,5,Monday,165,0,17
11,4,Wednesday,108,0,16
2,1,Wednesday,136,0,13
4,3,Saturday,132,0,12
6,5,Friday,159,0,18
17,2,Saturday,144,0,18
7,3,Monday,132,0,14
0,3,Sunday,162,0,16
2,6,Tuesday,136,0,15
0,3,Wednesday,165,0,17
9,1,Sunday,122,0,15
13,3,Thursday,121,0,15
6,5,Wednesday,123,0,13
5,3,Friday,132,0,14
21,5,Wednesday,165,0,18
0,6,Wednesday,160,0,17
0,5,Wednesday,117,0,12
3,2,Monday,133,0,13
13,6,Monday,105,0,14
22,6,Friday,165,0,19
4,1,Saturday,138,0,12
11,5,Wednesday,144,0,19
17,6,Tuesday,145,0,19
6,4,Friday,135,0,14
3,1,Thursday,130,0,12
23,3,Monday,155,0,16
15,1,Monday,141,0,19
15,4,Monday,138,0,19
13,1,Wednesday,136,0,18
21,1,Tuesday,130,0,13
8,4,Thursday,125,0,17
23,6,Wednesday,150,0,16
22,3,Tuesday,68,0,7
20,2,Monday,121,0,13
14,5,Thursday,127,0,18
4,4,Monday,74,0,8
19,1,Monday,106,0,13
0,5,Sunday,115,0,12
2,1,Sunday,105,0,8
23,6,Saturday,146,0,14
24,5,Tuesday,162,0,17
16,6,Saturday,150,0,19
6,5,Thursday,151,0,15
24,6,Wednesday,103,0,12
1,5,Wednesday,143,0,15
23,6,Friday,135,0,15
12,1,Wednesday,142,0,19
1,3,Wednesday,98,0,11
0,4,Monday,128,0,13
8,4,Wednesday,131,0,18
5,2,Monday,125,0,12
15,2,Tuesday,116,0,15
5,4,Wednesday,138,0,16
18,6,Monday,103,0,15
24,2,Wednesday,152,0,15
1,6,Monday,147,0,17
18,1,Saturday,150,0,18
18,1,Sunday,138,0,17
22,2,Tuesday,153,0,15
24,6,Monday,158,0,16
17,2,Monday,140,0,19
7,4,Monday,145,0,14
16,3,Tuesday,128,0,18
20,6,Friday,157,0,17
13,6,Monday,130,0,18
1,4,Thursday,165,0,18
16,4,Sunday,134,0,17
20,4,Monday,118,0,12
23,5,Thursday,135,0,15
8,6,Monday,94,0,13
4,3,Tuesday,165,0,17
16,6,Monday,122,0,16
8,2,Thursday,98,0,13
9,2,Tuesday,138,0,18
20,6,Tuesday,84,0,10
2,4,Sunday,160,0,15
14,4,Friday,129,0,19
24,1,Tuesday,153,0,17
24,6,Friday,165,0,19
1,3,Monday,148,0,15
22,4,Monday,165,0,17
10,1,Sunday,165,0,19
7,2,Thursday,164,0,17
1,2,Thursday,165,0,18
16,2,Friday,138,0,18
3,3,Saturday,103,0,10
9,1,Thursday,117,0,15
24,6,Thursday,120,0,13
24,2,Wednesday,165,0,16
10,2,Saturday,165,0,19
1,3,Tuesday,129,0,14
16,4,Thursday,124,0,17
1,5,Saturday,107,0,10
22,1,Friday,165,0,17
24,4,Saturday,126,0,12
0,6,Wednesday,150,0,17
1,2,Tuesday,147,0,14
6,3,Tuesday,133,0,14
1,2,Sunday,165,0,15
15,2,Monday,125,0,16
17,5,Friday,130,0,17
20,3,Wednesday,148,0,14
20,1,Saturday,148,0,13
0,5,Tuesday,138,0,14
7,3,Tuesday,98,0,10
0,5,Wednesday,165,0,17
19,1,Sunday,104,0,13
11,3,Thursday,122,0,16
6,6,Thursday,148,0,16
5,1,Thursday,127,0,13
4,2,Wednesday,147,0,14
15,3,Saturday,143,0,18
20,3,Wednesday,131,0,14
1,4,Friday,144,0,16
18,2,Sunday,155,0,19
23,2,Wednesday,165,0,17
12,2,Saturday,132,0,16
23,5,Sunday,153,0,16
6,3,Wednesday,165,0,16
4,4,Wednesday,144,0,16
12,4,Wednesday,123,0,18
9,2,Monday,94,0,12
16,5,Sunday,115,0,15
0,5,Friday,120,0,13
0,2,Thursday,164,0,17
8,2,Thursday,144,0,17
1,5,Friday,144,0,16
1,6,Tuesday,145,0,16
17,1,Friday,137,0,17
7,2,Sunday,140,0,12
21,5,Monday,106,0,12
2,1,Sunday,165,0,15
6,4,Monday,133,0,15
10,2,Sunday,115,0,14
12,2,Wednesday,99,0,12
2,3,Tuesday,139,0,13
9,3,Saturday,143,0,18
5,1,Sunday,95,0,9
17,1,Tuesday,139,0,19
20,1,Thursday,137,0,14
17,6,Wednesday,124,0,18
14,3,Monday,143,0,18
21,2,Thursday,165,0,18
4,3,Wednesday,109,0,12
5,1,Thursday,126,0,12
15,3,Thursday,108,0,14
2,2,Saturday,156,0,14
16,4,Sunday,116,0,15
8,1,Friday,120,0,16
13,1,Wednesday,133,0,17
14,2,Monday,123,0,16
13,3,Tuesday,148,0,19
0,4,Friday,148,0,15
0,2,Friday,105,0,10
20,6,Thursday,165,0,18
4,5,Sunday,126,0,13
3,1,Friday,154,0,15
2,2,Wednesday,128,0,13
21,1,Saturday,107,0,9
24,6,Thursday,106,0,12
15,1,Sunday,75,0,9
20,4,Thursday,165,0,19
6,5,Monday,164,0,18
11,6,Thursday,120,0,17
5,1,Saturday,138,0,12
3,1,Saturday,133,0,13
20,1,Sunday,111,0,10
6,1,Friday,127,0,12
16,3,Monday,135,0,18
6,2,Sunday,102,0,9
11,1,Thursday,105,0,13
16,2,Saturday,153,0,18
1,1,Saturday,155,0,15
2,1,Sunday,148,0,14
3,2,Friday,165,0,17
15,3,Saturday,127,0,17
23,2,Monday,119,0,12
4,5,Friday,163,0,19
16,1,Sunday,92,0,12
18,2,Monday,128,0,17
22,3,Tuesday,165,0,18
12,5,Friday,120,0,16
7,6,Friday,151,0,17
12,4,Saturday,120,0,16
13,2,Friday,113,0,15
4,1,Tuesday,165,0,16
11,2,Wednesday,123,0,16
6,1,Saturday,160,0,14
8,2,Wednesday,74,0,10
6,4,Monday,111,0,12
21,6,Thursday,161,0,18
22,6,Friday,151,0,17
22,5,Tuesday,165,0,17
10,5,Friday,112,0,15
22,6,Wednesday,149,0,18
11,6,Monday,130,0,18
24,3,Monday,157,0,17
2,3,Wednesday,80,0,8
4,6,Sunday,165,0,17
7,4,Friday,136,0,14
13,1,Wednesday,117,0,16
2,4,Saturday,143,0,14
23,1,Wednesday,144,0,14
23,3,Thursday,165,0,16
3,2,Saturday,125,0,12
8,3,Sunday,125,0,15
21,5,Tuesday,95,0,11
24,5,Tuesday,105,0,10
21,6,Monday,165,0,18
3,2,Friday,134,0,14
16,2,Thursday,146,0,19
24,2,Wednesday,113,0,11
15,4,Wednesday,130,0,17
0,3,Friday,135,0,15
23,2,Friday,133,0,14
8,6,Wednesday,86,0,12
5,5,Saturday,128,0,13
6,5,Tuesday,130,0,13
24,2,Tuesday,125,0,13
17,6,Saturday,135,0,17
5,1,Wednesday,146,0,16
21,4,Monday,165,0,17
14,6,Wednesday,83,0,11
6,1,Tuesday,72,0,8
3,3,Thursday,165,0,17
23,4,Sunday,110,0,10
15,1,Sunday,135,0,16
20,4,Tuesday,120,0,14
9,4,Sunday,142,0,19
1,3,Saturday,99,0,9
9,2,Wednesday,144,0,19
12,4,Monday,132,0,18
7,3,Monday,146,0,15
24,5,Wednesday,134,0,14
20,5,Saturday,136,0,14
7,5,Monday,144,0,16
8,2,Thursday,121,0,16
2,5,Monday,127,0,14
0,1,Tuesday,155,0,16
3,6,Wednesday,165,0,17
14,5,Tuesday,131,0,17
8,3,Wednesday,121,0,16
23,2,Saturday,132,0,13
11,1,Sunday,121,0,14
12,2,Wednesday,129,0,17
0,2,Monday,104,0,10
2,4,Friday,159,0,16
18,1,Saturday,141,0,18
9,4,Friday,118,0,16
13,5,Sunday,73,0,9
23,3,Sunday,132,0,12
21,5,Wednesday,141,0,15
3,6,Sunday,155,0,16
24,5,Wednesday,112,0,12
21,4,Friday,139,0,16
16,3,Monday,136,0,19
19,3,Saturday,91,0,11
20,1,Friday,132,0,13
4,4,Tuesday,141,0,16
20,1,Thursday,157,0,16
5,3,Friday,131,0,14
13,1,Saturday,88,0,11
12,6,Monday,133,0,18
22,6,Wednesday,158,0,18
24,5,Sunday,79,0,8
7,4,Thursday,98,0,10
13,1,Saturday,129,0,16
14,6,Saturday,130,0,17
20,3,Monday,143,0,14
12,2,Sunday,154,0,18
12,3,Friday,119,0,17
23,1,Sunday,130,0,13
1,5,Friday,165,0,18
9,1,Saturday,144,0,16
21,1,Friday,118,0,12
7,3,Thursday,133,0,13
20,1,Wednesday,112,0,12
15,3,Tuesday,145,0,19
4,2,Sunday,156,0,14
19,1,Sunday,143,0,17
1,3,Thursday,110,0,12
0,5,Thursday,160,0,17
23,1,Saturday,161,0,15
2,4,Thursday,139,0,14
2,6,Monday,151,0,17
7,2,Thursday,154,0,16
6,5,Sunday,119,0,11
3,3,Wednesday,135,0,14
1,6,Tuesday,131,0,14
19,2,Sunday,141,0,18
24,3,Tuesday,133,0,14
11,2,Thursday,126,0,17
10,1,Thursday,137,0,19
20,5,Saturday,134,0,13
16,3,Thursday,143,0,19
24,1,Sunday,140,0,13
21,6,Thursday,130,0,13
20,3,Sunday,165,0,16
12,4,Tuesday,133,0,18
17,1,Saturday,130,0,16
12,5,Saturday,116,0,15
23,1,Monday,136,0,13
16,1,Tuesday,126,0,17
3,1,Monday,134,0,14
7,3,Monday,156,0,15
13,3,Monday,125,0,17
7,6,Tuesday,146,0,17
23,4,Friday,130,0,13
4,1,Thursday,137,0,14
5,5,Thursday,119,0,14
1,6,Sunday,148,0,14
7,6,Monday,143,0,16
10,4,Friday,104,0,13
17,1,Sunday,165,0,19
1,4,Thursday,124,0,13
3,6,Sunday,165,0,17
5,4,Tuesday,165,0,19
23,1,Tuesday,97,0,9
7,6,Wednesday,159,0,18
1,1,Monday,160,0,14
24,5,Friday,150,0,16
23,1,Wednesday,153,0,15
5,2,Monday,118,0,13
7,1,Friday,161,0,17
9,1,Tuesday,160,0,19
18,5,Friday,119,0,17
3,3,Sunday,122,0,11
20,6,Tuesday,152,0,17
3,5,Sunday,130,0,13
23,3,Tuesday,158,0,16
2,6,Sunday,143,0,15
22,3,Saturday,145,0,13
22,1,Saturday,129,0,11
16,3,Wednesday,122,0,16
19,3,Wednesday,140,0,18
8,1,Thursday,143,0,19
9,6,Wednesday,108,0,15
23,3,Saturday,163,0,14
0,5,Saturday,109,0,10
8,5,Thursday,145,0,19
24,6,Sunday,132,0,13
9,2,Saturday,143,0,17
6,1,Tuesday,165,0,17
3,2,Sunday,126,0,13
18,3,Friday,71,0,10
24,3,Friday,132,0,14
13,6,Tuesday,141,0,19
5,6,Tuesday,155,0,18
1,5,Thursday,132,0,14
16,3,Thursday,111,0,15
0,6,Wednesday,132,0,15
9,4,Wednesday,135,0,18
4,5,Tuesday,139,0,14
24,1,Tuesday,132,0,13
23,2,Monday,149,0,14
3,1,Saturday,133,0,12
3,1,Saturday,123,0,11
8,2,Monday,103,0,14
0,2,Friday,165,0,17
7,2,Thursday,148,0,15
0,6,Friday,141,0,16
17,1,Sunday,129,0,16
17,6,Friday,126,0,18
23,6,Thursday,155,0,17
10,6,Wednesday,133,0,19
21,2,Friday,153,0,15
9,5,Saturday,148,0,18
4,5,Saturday,133,0,13
20,4,Wednesday,165,0,18
18,2,Monday,116,0,15
20,2,Sunday,131,0,12
16,5,Monday,120,0,18
11,3,Thursday,116,0,15
24,5,Thursday,139,0,14
22,3,Monday,151,0,15
6,5,Wednesday,125,0,14
7,3,Monday,95,0,10
14,3,Tuesday,130,0,18
23,2,Tuesday,142,0,16
20,5,Monday,162,0,18
15,6,Monday,131,0,18
22,1,Tuesday,165,0,17
8,3,Sunday,148,0,18
11,2,Sunday,141,0,17
9,3,Saturday,107,0,12
5,5,Friday,130,0,13
0,3,Thursday,112,0,11
7,1,Tuesday,101,0,10
4,5,Friday,97,0,11
8,1,Saturday,140,0,15
16,2,Thursday,132,0,17
4,5,Thursday,129,0,14
5,1,Monday,165,0,16
15,4,Thursday,95,0,13
6,3,Monday,145,0,13
20,2,Friday,142,0,13
12,1,Wednesday,141,0,19
18,2,Thursday,82,0,12
0,1,Saturday,163,0,14
6,4,Monday,126,0,14
17,6,Thursday,93,0,13
14,4,Saturday,110,0,14
16,4,Wednesday,151,0,19
14,3,Monday,122,0,16
11,3,Wednesday,139,0,19
15,4,Friday,145,0,19
20,6,Saturday,148,0,15
16,4,Saturday,159,0,19
4,4,Thursday,139,0,14
15,6,Wednesday,147,0,19
23,5,Monday,120,0,13
9,1,Thursday,98,0,13
20,2,Monday,135,0,13
7,2,Wednesday,134,0,13
22,2,Tuesday,123,0,13
1,3,Tuesday,133,0,14
1,5,Saturday,156,0,16
5,2,Friday,138,0,14
23,1,Monday,115,0,11
11,2,Thursday,148,0,19
20,3,Thursday,138,0,14
12,2,Thursday,110,0,15
5,4,Saturday,165,0,16
1,2,Friday,142,0,14
0,1,Tuesday,141,0,14
14,1,Monday,80,0,11
19,2,Tuesday,131,0,19
23,6,Thursday,165,0,18
2,4,Thursday,149,0,16
10,3,Thursday,107,0,14
23,1,Sunday,134,0,13
23,6,Tuesday,103,0,11
23,5,Thursday,163,0,19
4,2,Wednesday,158,0,16
10,1,Tuesday,109,0,14
12,6,Sunday,128,0,16
11,3,Tuesday,118,0,15
2,6,Friday,133,0,15
1,3,Monday,124,0,14
6,2,Saturday,155,0,15
24,2,Friday,106,0,11
11,6,Friday,125,0,18
20,2,Wednesday,156,0,16
23,1,Monday,112,0,11
11,3,Saturday,158,0,19
22,3,Tuesday,143,0,16
18,4,Friday,131,0,18
7,2,Sunday,132,0,12
23,3,Thursday,165,0,17
10,2,Friday,108,0,14
6,3,Monday,142,0,15
19,6,Sunday,123,0,16
23,5,Tuesday,120,0,13
24,5,Sunday,151,0,16
9,1,Sunday,121,0,15
0,4,Sunday,110,0,10
19,3,Friday,137,0,18
20,3,Wednesday,159,0,17
6,2,Wednesday,127,0,14
20,1,Wednesday,154,0,16
18,3,Sunday,108,0,14
3,3,Monday,143,0,15
13,3,Wednesday,129,0,17
24,5,Saturday,136,0,14
15,1,Thursday,123,0,16
12,4,Sunday,142,0,18
10,5,Wednesday,120,0,17
7,4,Thursday,136,0,15
1,6,Thursday,158,0,17
8,2,Sunday,152,0,17
4,6,Wednesday,165,0,17
0,3,Saturday,165,0,16
7,2,Tuesday,133,0,14
20,2,Saturday,110,0,10
23,4,Friday,121,0,13
24,4,Tuesday,138,0,15
10,4,Thursday,143,0,19
0,4,Wednesday,128,0,14
1,3,Thursday,154,0,15
16,4,Wednesday,130,0,17
18,4,Sunday,148,0,19
6,4,Wednesday,165,0,16
20,2,Wednesday,126,0,13
4,3,Tuesday,128,0,13
12,1,Tuesday,117,0,15
6,4,Saturday,139,0,13
4,4,Friday,98,0,11
7,6,Tuesday,165,0,19
15,4,Thursday,124,0,18
9,1,Sunday,124,0,15
4,5,Monday,139,0,14
24,6,Thursday,134,0,13
2,5,Saturday,148,0,14
11,1,Thursday,121,0,16
12,1,Monday,128,0,16
11,4,Sunday,148,0,18
7,2,Sunday,135,0,13
18,6,Thursday,121,0,17
24,5,Tuesday,140,0,15
0,6,Friday,148,0,17
1,3,Monday,117,0,11
24,6,Tuesday,165,0,17
23,6,Sunday,95,0,9
8,6,Thursday,134,0,18
4,4,Monday,105,0,11
23,3,Monday,84,0,9
6,5,Tuesday,153,0,17
16,2,Monday,93,0,13
13,4,Sunday,145,0,18
6,3,Thursday,101,0,10
17,1,Saturday,141,0,17
6,1,Sunday,142,0,14
21,4,Tuesday,144,0,15
16,2,Wednesday,129,0,16
15,5,Friday,115,0,15
12,2,Saturday,107,0,13
14,2,Monday,151,0,19
7,5,Tuesday,165,0,19
3,3,Thursday,102,0,11
7,6,Sunday,164,0,17
23,4,Thursday,165,0,17
6,3,Sunday,130,0,13
20,2,Saturday,120,0,11
3,3,Wednesday,131,0,13
23,2,Wednesday,152,0,15
9,1,Wednesday,112,0,15
6,4,Tuesday,114,0,12
5,2,Saturday,130,0,12
21,1,Tuesday,151,0,15
2,5,Monday,165,0,17
10,2,Thursday,90,0,12
5,1,Monday,159,0,15
3,3,Sunday,165,0,15
13,1,Wednesday,133,0,18
4,1,Friday,141,0,13
19,2,Wednesday,115,0,15
5,6,Monday,148,0,16
7,3,Thursday,165,0,18
16,2,Tuesday,133,0,17
19,3,Saturday,154,0,19
7,6,Monday,131,0,14
4,4,Thursday,165,0,17
21,1,Monday,132,0,13
3,2,Monday,165,0,17
15,3,Saturday,134,0,16
3,4,Tuesday,118,0,12
8,1,Friday,151,0,19
17,4,Thursday,138,0,18
0,4,Friday,159,0,16
3,1,Thursday,148,0,14
21,5,Tuesday,151,0,17
2,5,Sunday,164,0,15
4,5,Monday,144,0,15
1,6,Thursday,153,0,16
0,4,Wednesday,165,0,18
15,1,Wednesday,110,0,15
7,3,Sunday,158,0,15
23,2,Tuesday,165,0,17
19,3,Monday,143,0,19
5,2,Tuesday,150,0,16
24,4,Tuesday,117,0,12
